Babi - Baseline,,,,,
RUN ID,acc,f1,bleu,token_acc,ppl
1,0.758,0.9074,0.7723,0.9454,1.214
2,0.772,0.91,0.7796,0.9446,1.22
3,0.732,0.9108,0.7629,0.9493,1.215
4,0.725,0.8959,0.7616,0.9396,1.25
5,0.779,0.9147,0.782,0.9469,1.188
Experiment Name: Drop words 0.75,,,,,
RUN ID,acc,f1,belu,token_acc,ppl
1,0.042,0.6191,0.1322,0.5176,6858
2,0.005,0.5508,0.07229,0.4957,2234
3,0.03,0.6007,0.1037,0.5158,1247
4,0.013,0.5823,0.08189,0.5029,5007
5,0.014,0.5961,0.1061,0.5023,3449
Experiment Name: Drop words 0.50,,,,,
RUN ID,acc,f1,belu,token_acc,ppl
1,0.03,0.6736,0.1705,0.5718,73.72
2,0.035,0.6833,0.1758,0.5744,40.19
3,0.03,0.6734,0.1025,0.6077,44.56
4,0.03,0.6732,0.1207,0.5984,42.19
5,0.001,0.6441,0.09793,0.5652,62.39
Experiment Name: Drop words 0.25,,,,,
RUN ID,acc,f1,belu,token_acc,ppl
1,0.041,0.7204,0.2905,0.7037,6.56
2,0.087,0.7222,0.2666,0.7021,9.373
3,0.051,0.7157,0.2573,0.6915,10.29
4,0.064,0.7247,0.3381,0.7204,7.214
5,0.046,0.7107,0.2647,0.7112,7.678
Experiment Name: drop_non_stop_words_0.75,,,,,
RUN ID,acc,f1,belu,token_acc,ppl
1,0.152,0.7012,0.2138,0.6195,120.1
2,0.153,0.7098,0.2167,0.6551,139.6
3,0.154,0.712,0.2394,0.6931,77.67
4,0.136,0.7026,0.202,0.6599,148.4
5,0.121,0.6832,0.1809,0.6407,119.1
Experiment Name: drop_non_stop_words_0.50,,,,,
RUN ID,acc,f1,belu,token_acc,ppl
1,0.1,0.7474,0.2848,0.7578,5.87
2,0.069,0.7058,0.2465,0.7577,6.746
3,0.067,0.7099,0.3445,0.7593,8.135
4,0.106,0.7256,0.3017,0.7398,7.625
5,0.095,0.7435,0.2788,0.717,11.11
Experiment Name: drop_non_stop_words_0.25,,,,,
RUN ID,acc,f1,belu,token_acc,ppl
1,0.107,0.7717,0.4641,0.8205,2.975
2,0.108,0.7719,0.4603,0.8043,3.085
3,0.109,0.7714,0.4317,0.8144,2.844
4,0.072,0.7322,0.421,0.8115,3.016
5,0.109,0.7682,0.4885,0.8338,2.947
Babi - Russian,,,,,
RUN ID,acc,f1,bleu,token_acc,ppl
1,0.311,0.5949,0.3829,0.7831,37.65
2,0.269,0.5023,0.3402,0.7543,74.95
3,0.292,0.5521,0.3754,0.7894,76.9
4,0.3,0.539,0.3906,0.7741,50.01
5,0.282,0.5347,0.3593,0.7705,56.87
