Baseline,,,,,
RUN ID,acc,f1,bleu,token_acc,ppl
1,0.1102,0.2903,0.09512,0.5761,10.34
2,0.1136,0.2912,0.1077,0.5785,10.45
3,0.1147,0.2812,0.09626,0.5807,10.13
4,0.1102,0.2819,0.09513,0.5764,10.06
5,0.118,0.2873,0.106,0.5784,10.12
Drop Stop Words  0.75,,,,,
RUN ID,acc,f1,bleu,token_acc,ppl
1,0.09688,0.2746,0.09012,0.5078,20.42
2,0.09354,0.2671,0.08459,0.5011,20.3
3,0.1091,0.2757,0.1028,0.5077,19.46
4,0.09243,0.2751,0.09074,0.5062,20.18
5,0.1024,0.2766,0.1037,0.5116,20.1
Drop Stop Words  0.5,,,,,
RUN ID,acc,f1,bleu,token_acc,ppl
1,0.09577,0.284,0.094,0.5354,13.42
2,0.1002,0.2865,0.09937,0.5351,13.5
3,0.09131,0.2662,0.09703,0.5334,13.82
4,0.1013,0.2802,0.09464,0.5306,13.65
5,0.1102,0.2801,0.1006,0.5284,13.72
Drop Stop Words  0.25,,,,,
RUN ID,acc,f1,bleu,token_acc,ppl
1,0.1069,0.2932,0.1015,0.5555,11.48
2,0.09688,0.2817,0.09686,0.5553,11.86
3,0.1002,0.2917,0.09813,0.5583,11.75
4,0.09911,0.283,0.1013,0.5583,12.03
5,0.1102,0.299,0.1041,0.5632,11.76
Drop Non Stop Words 0.75,,,,,
RUN ID,acc,f1,bleu,token_acc,ppl
1,0.03341,0.2026,0.08947,0.4839,38.66
2,0.03007,0.2046,0.09329,0.479,41.03
3,0.007795,0.1856,0.06427,0.4709,39.04
4,0.01448,0.1927,0.07134,0.4744,41.23
5,0.02339,0.1978,0.07855,0.4777,42.34
Drop Non Stop Words 0.5,,,,,
RUN ID,acc,f1,bleu,token_acc,ppl
1,0.04232,0.2122,0.09555,0.5128,19
2,0.03229,0.2047,0.0916,0.5103,19.31
3,0.04566,0.2048,0.09498,0.5158,19.02
4,0.02895,0.2083,0.08758,0.5115,18.82
5,0.03118,0.2122,0.09525,0.5104,18.77
Drop Non Stop Words 0.25,,,,,
RUN ID,acc,f1,bleu,token_acc,ppl
1,0.04232,0.2046,0.09428,0.538,13.96
2,0.03786,0.2166,0.09941,0.5373,13.97
3,0.03563,0.2071,0.09508,0.5355,14.3
4,0.03898,0.197,0.09141,0.5409,13.91
5,0.03452,0.2069,0.09213,0.5382,14.29
Backtranslation Russian,,,,,
RUN ID,acc,f1,bleu,token_acc,ppl
1,0.08018,0.2303,0.08776,0.3898,202.1
2,0.08241,0.2311,0.09482,0.3847,249.6
3,0.08241,0.2282,0.08429,0.3897,213.4
4,0.08352,0.2388,0.09715,0.3902,197.3
5,0.08686,0.2457,0.1024,0.3936,219.4
