Experiment Name: zipf_drop_0_1,,,,,
RUN ID,acc,f1,belu,token_acc,ppl
1,0.611,0.9675,0.8592,0.9354,1.952
2,0.612,0.9635,0.8554,0.9369,1.886
3,0.615,0.9449,0.8481,0.9316,1.929
4,0.588,0.954,0.8492,0.9327,2.184
5,0.578,0.9657,0.8617,0.9313,2.087
Experiment Name: zipf_drop_0_2,,,,,
RUN ID,acc,f1,belu,token_acc,ppl
1,0.475,0.8681,0.6649,0.8702,3.614
2,0.398,0.8102,0.5811,0.8798,3.595
3,0.439,0.8496,0.6237,0.8529,4.066
4,0.492,0.9288,0.7236,0.8755,3.845
5,0.557,0.9472,0.7544,0.9047,3.42
Experiment Name: zipf_drop_36_44,,,,,
RUN ID,acc,f1,belu,token_acc,ppl
1,0.827,0.9334,0.8828,0.9498,1.479
2,0.775,0.919,0.8644,0.9498,1.485
3,0.826,0.9337,0.8831,0.9571,1.51
4,0.805,0.9146,0.8739,0.9534,1.564
5,0.746,0.9017,0.8375,0.9465,1.597
Experiment Name: zipf_drop_36_55,,,,,
RUN ID,acc,f1,belu,token_acc,ppl
1,0.76,0.8863,0.8345,0.9449,1.483
2,0.784,0.8743,0.8397,0.9445,1.536
3,0.711,0.8472,0.7944,0.94,1.571
4,0.77,0.8941,0.8472,0.943,1.522
5,0.789,0.8974,0.8602,0.945,1.528
